F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
2292.2613,2392.1397,2107.3302000000003,2134.6407,2246.4836999999998,2402.0235000000002,2368.9908,1938.5253000000002,2262.3498000000004,2308.3875,2006.4114,2029.8204,2253.7664999999997,1823.301
2290.4406000000004,2392.92,2106.81,2136.4614,2249.0847000000003,2401.5033,2369.5110000000004,1939.5657,2263.6503,2308.1274,2005.6311,2027.9997,2253.2463000000002,1822.2606
2289.4002,2395.7810999999997,2107.3302000000003,2136.9816,2248.5645,2401.2432,2368.7307,1940.0859,2262.3498000000004,2307.6072000000004,2007.4518000000003,2026.179,2254.0266,1822.5207
2290.7007,2395.2609,2107.8504,2134.3806000000004,2246.2236,2401.7634000000003,2368.2105,1939.3056,2261.5695,2307.6072000000004,2007.4518000000003,2027.9997,2254.8069000000005,1823.5611000000001
2290.9608,2393.4402000000005,2107.3302000000003,2135.9412,2247.0039,2401.2432,2368.9908,1940.0859,2260.7892,2307.8673000000003,2004.5907000000002,2029.5603,2253.5064,1822.5207
2290.7007,2392.6599,2107.8504,2136.7214999999997,2247.7842,2400.723,2367.4302000000002,1941.6465,2260.5290999999997,2309.1677999999997,2005.1109000000001,2027.7396,2254.2867,1823.301
2289.4002,2394.2205000000004,2107.0701000000004,2135.4210000000003,2247.5241,2402.2835999999998,2368.2105,1941.3863999999999,2260.7892,2308.1274,2004.8508,2025.6588000000002,2254.2867,1823.0409000000002
2289.1401,2393.9604,2108.1105000000002,2135.9412,2247.7842,2402.2835999999998,2368.9908,1941.1263000000001,2260.5290999999997,2306.0466,2005.6311,2027.7396,2253.7664999999997,1822.5207
2290.7007,2391.0993000000003,2108.3706,2136.9816,2248.3044000000004,2400.4629,2367.6902999999998,1941.6465,2261.3094,2307.8673000000003,2006.4114,2028.78,2254.5468,1823.0409000000002
2290.9608,2392.6599,2106.5499,2137.2417,2248.0443,2400.723,2368.7307,1940.0859,2262.3498000000004,2308.9077,2004.5907000000002,2027.7396,2253.5064,1822.5207
2290.9608,2395.0008,2108.6306999999997,2135.1609000000003,2247.2639999999997,2401.2432,2369.2509,1938.7854,2261.8296,2307.087,2005.371,2028.2598,2254.0266,1823.0409000000002
2289.1401,2394.2205000000004,2107.5903,2134.6407,2247.7842,2401.7634000000003,2369.7711,1939.0455000000002,2261.5695,2307.087,2004.8508,2027.7396,2254.8069000000005,1822.7808
2289.1401,2393.4402000000005,2105.5095,2135.6811,2247.2639999999997,2401.2432,2368.7307,1939.5657,2262.0897,2308.9077,2005.371,2027.7396,2253.7664999999997,1823.0409000000002
2291.2209000000003,2395.2609,2107.5903,2133.6003,2246.7438,2400.723,2368.4706,1940.0859,2261.3094,2307.8673000000003,2007.1917,2029.8204,2253.7664999999997,1824.3414
2290.4406000000004,2396.3013,2108.6306999999997,2134.1205,2247.2639999999997,2402.5437,2370.0312,1940.0859,2260.269,2306.8269000000005,2005.6311,2029.3002000000001,2254.8069000000005,1823.8211999999999
2289.9204,2393.7003,2108.3706,2135.6811,2247.0039,2401.5033,2368.4706,1940.0859,2260.5290999999997,2307.6072000000004,2005.8912,2027.9997,2255.3271,1824.0813
2291.481,2392.3998,2107.0701000000004,2135.6811,2248.0443,2400.2028,2367.6902999999998,1940.0859,2261.5695,2306.8269000000005,2005.8912,2026.4391,2252.9862,1824.0813
2291.7410999999997,2393.1801,2107.0701000000004,2137.7619000000004,2249.3448000000003,2401.5033,2368.7307,1939.3056,2262.87,2306.5668,2005.8912,2026.4391,2252.7261,1823.5611000000001
2291.481,2392.6599,2108.3706,2138.8023000000003,2248.0443,2401.2432,2367.1701000000003,1940.8662,2263.1301000000003,2308.6476000000002,2007.1917,2027.4795000000001,2256.1074,1824.3414
2290.9608,2392.1397,2107.5903,2138.8023000000003,2248.8246,2400.4629,2367.9504,1941.1263000000001,2261.5695,2308.6476000000002,2005.1109000000001,2027.2194,2255.5872000000004,1823.0409000000002
2291.481,2393.1801,2108.3706,2135.9412,2250.3852,2399.4225,2368.7307,1939.3056,2261.5695,2307.6072000000004,2005.8912,2029.0401000000002,2253.2463000000002,1822.7808
2289.9204,2393.9604,2108.1105000000002,2134.3806000000004,2249.8650000000002,2401.2432,2368.9908,1939.8258,2262.3498000000004,2308.1274,2006.9316,2030.0805,2253.2463000000002,1822.2606
2288.6199,2393.4402000000005,2106.5499,2136.4614,2249.0847000000003,2403.324,2368.9908,1940.6061000000002,2262.6099,2307.6072000000004,2005.8912,2028.78,2254.2867,1820.9601000000002
2290.4406000000004,2393.7003,2107.5903,2134.1205,2247.0039,2400.9831000000004,2366.6499,1939.5657,2262.87,2307.3471,2007.1917,2027.9997,2253.7664999999997,1823.301
2291.481,2395.2609,2107.5903,2133.0801,2247.2639999999997,2401.7634000000003,2367.4302000000002,1939.3056,2261.5695,2307.8673000000003,2005.8912,2027.9997,2252.2059,1824.3414
2290.4406000000004,2394.7407,2109.1509,2136.2013,2249.3448000000003,2403.324,2368.7307,1940.0859,2261.0493,2308.6476000000002,2005.1109000000001,2029.5603,2254.8069000000005,1823.301
2290.9608,2392.6599,2108.3706,2137.2417,2249.6049,2400.9831000000004,2368.4706,1940.0859,2262.3498000000004,2308.9077,2006.9316,2027.9997,2254.8069000000005,1823.5611000000001
2291.481,2392.92,2105.5095,2138.8023000000003,2249.3448000000003,2400.4629,2368.7307,1939.0455000000002,2261.8296,2308.1274,2005.8912,2024.8785,2250.9054,1823.301
2292.2613,2392.6599,2108.1105000000002,2139.3225,2248.3044000000004,2400.723,2367.1701000000003,1939.0455000000002,2261.0493,2307.3471,2006.1513,2027.2194,2252.7261,1822.7808
2292.5214,2391.8796,2109.411,2139.0624,2247.5241,2402.0235000000002,2368.2105,1939.0455000000002,2261.8296,2306.0466,2005.6311,2027.4795000000001,2254.5468,1822.5207
2291.7410999999997,2393.4402000000005,2107.8504,2137.2417,2247.5241,2401.5033,2368.9908,1938.2652,2262.6099,2306.3067,2004.3306,2025.9189,2252.9862,1823.5611000000001
2291.481,2394.7407,2108.1105000000002,2134.9008,2246.7438,2400.4629,2368.4706,1940.0859,2262.3498000000004,2307.6072000000004,2004.5907000000002,2027.7396,2254.5468,1823.8211999999999
2290.9608,2395.2609,2108.1105000000002,2136.2013,2247.2639999999997,2402.8038,2370.5514000000003,1940.346,2261.5695,2307.3471,2004.0705,2029.5603,2256.1074,1821.7404
2290.7007,2395.2609,2107.8504,2134.6407,2248.3044000000004,2402.8038,2368.9908,1938.5253000000002,2261.8296,2307.087,2005.6311,2028.78,2255.067,1822.7808
2290.7007,2395.2609,2107.5903,2131.7796,2249.8650000000002,2401.2432,2367.4302000000002,1939.0455000000002,2262.87,2307.8673000000003,2006.4114,2026.9593000000002,2253.5064,1823.8211999999999
2290.1805,2394.2205000000004,2108.6306999999997,2134.3806000000004,2249.0847000000003,2401.5033,2368.2105,1939.8258,2262.6099,2307.8673000000003,2006.4114,2027.9997,2252.4660000000003,1822.0005
2290.7007,2392.92,2108.3706,2136.9816,2247.0039,2400.9831000000004,2369.7711,1939.5657,2261.5695,2306.8269000000005,2006.9316,2028.78,2252.7261,1822.2606
2290.9608,2393.1801,2106.81,2138.5422000000003,2248.8246,2400.4629,2370.8115,1939.8258,2260.7892,2306.5668,2005.8912,2026.6992,2252.2059,1823.0409000000002
2290.7007,2392.6599,2108.3706,2138.5422000000003,2248.8246,2400.2028,2368.2105,1940.0859,2261.5695,2307.6072000000004,2006.9316,2026.6992,2253.5064,1823.8211999999999
2289.9204,2392.3998,2107.5903,2137.5018,2246.7438,2400.723,2368.2105,1939.3056,2262.0897,2307.087,2005.6311,2026.9593000000002,2255.5872000000004,1823.301
2290.4406000000004,2393.1801,2106.2898000000005,2138.2821,2247.5241,2400.9831000000004,2370.0312,1939.0455000000002,2261.3094,2306.5668,2004.3306,2028.2598,2254.2867,1823.301
2291.7410999999997,2394.7407,2108.3706,2137.2417,2248.5645,2401.5033,2368.4706,1939.5657,2262.0897,2307.3471,2006.6715000000002,2028.78,2253.5064,1823.8211999999999
2289.1401,2396.0412,2108.1105000000002,2135.6811,2248.3044000000004,2403.0639,2368.7307,1940.346,2261.5695,2308.6476000000002,2005.6311,2028.5199000000002,2253.7664999999997,1821.2202
2288.6199,2393.1801,2107.5903,2134.1205,2247.2639999999997,2402.0235000000002,2368.7307,1940.346,2260.7892,2309.1677999999997,2005.1109000000001,2030.6007000000002,2253.7664999999997,1821.4803000000002
2291.481,2393.1801,2107.8504,2133.3402,2247.7842,2401.7634000000003,2367.9504,1940.0859,2261.8296,2308.3875,2006.1513,2029.0401000000002,2254.0266,1823.301
2292.0012,2396.3013,2107.8504,2134.9008,2248.5645,2402.8038,2368.9908,1940.346,2262.0897,2307.087,2005.8912,2026.6992,2253.7664999999997,1822.2606
2290.9608,2393.1801,2107.8504,2135.4210000000003,2247.0039,2401.5033,2367.6902999999998,1941.1263000000001,2261.5695,2306.5668,2005.6311,2028.2598,2254.8069000000005,1822.7808
2290.7007,2391.0993000000003,2106.81,2139.0624,2247.2639999999997,2401.5033,2367.9504,1940.8662,2260.7892,2307.3471,2004.8508,2028.78,2253.7664999999997,1822.2606
2292.0012,2393.7003,2106.81,2141.1432,2248.8246,2401.5033,2368.9908,1939.8258,2260.5290999999997,2307.6072000000004,2004.8508,2027.4795000000001,2253.2463000000002,1822.0005
2291.481,2393.7003,2106.2898000000005,2136.9816,2248.8246,2400.4629,2368.4706,1940.0859,2261.5695,2307.6072000000004,2005.371,2027.2194,2253.7664999999997,1823.5611000000001
2289.4002,2392.3998,2106.0297,2137.5018,2247.5241,2400.9831000000004,2369.2509,1939.8258,2262.3498000000004,2307.8673000000003,2004.8508,2027.2194,2253.5064,1822.7808
2289.9204,2392.3998,2107.8504,2138.8023000000003,2247.7842,2400.2028,2369.5110000000004,1940.0859,2261.8296,2307.6072000000004,2006.4114,2027.7396,2254.0266,1822.5207
2290.4406000000004,2394.4806000000003,2107.5903,2135.9412,2249.0847000000003,2400.723,2369.5110000000004,1940.8662,2261.0493,2307.6072000000004,2005.1109000000001,2027.7396,2252.7261,1822.7808
2289.4002,2394.4806000000003,2107.8504,2133.3402,2248.0443,2402.8038,2368.9908,1939.8258,2262.3498000000004,2307.8673000000003,2005.1109000000001,2027.4795000000001,2253.5064,1823.301
2290.1805,2392.3998,2108.8908,2133.3402,2248.0443,2402.2835999999998,2368.9908,1940.346,2264.1705,2307.3471,2007.1917,2029.0401000000002,2254.8069000000005,1823.8211999999999
2291.7410999999997,2394.2205000000004,2107.0701000000004,2134.9008,2249.6049,2402.0235000000002,2369.7711,1941.3863999999999,2263.6503,2306.3067,2006.1513,2028.78,2253.7664999999997,1822.5207
2291.481,2395.7810999999997,2107.3302000000003,2134.1205,2248.5645,2401.7634000000003,2367.6902999999998,1941.3863999999999,2261.8296,2307.3471,2006.6715000000002,2027.7396,2254.5468,1822.5207
2290.4406000000004,2392.92,2106.5499,2135.9412,2247.0039,2401.5033,2367.9504,1941.6465,2261.3094,2308.3875,2006.4114,2028.2598,2254.2867,1822.0005
2290.7007,2391.8796,2106.0297,2139.0624,2247.5241,2401.2432,2369.7711,1941.1263000000001,2261.8296,2307.8673000000003,2005.6311,2028.78,2252.7261,1821.2202
2291.7410999999997,2393.9604,2107.3302000000003,2137.2417,2249.3448000000003,2399.9427,2368.4706,1940.8662,2262.87,2307.6072000000004,2006.1513,2027.4795000000001,2254.2867,1821.7404
2290.9608,2394.4806000000003,2106.5499,2136.2013,2249.3448000000003,2401.5033,2368.7307,1939.3056,2261.8296,2308.6476000000002,2005.8912,2026.9593000000002,2255.067,1822.2606
2290.4406000000004,2392.1397,2108.3706,2136.7214999999997,2247.0039,2401.2432,2368.2105,1938.2652,2261.3094,2308.3875,2007.1917,2028.2598,2254.5468,1822.5207
2291.2209000000003,2392.92,2109.1509,2136.2013,2247.7842,2400.723,2368.7307,1938.5253000000002,2261.8296,2307.3471,2006.4114,2027.2194,2252.7261,1821.2202
2291.2209000000003,2395.0008,2107.0701000000004,2135.9412,2250.3852,2402.5437,2370.5514000000003,1939.5657,2262.0897,2308.3875,2004.8508,2027.2194,2251.6857,1821.4803000000002
2290.7007,2394.2205000000004,2107.5903,2134.6407,2248.5645,2402.8038,2368.9908,1941.1263000000001,2262.0897,2309.1677999999997,2005.6311,2028.78,2255.067,1824.3414
2288.88,2393.7003,2108.3706,2135.1609000000003,2247.2639999999997,2402.2835999999998,2368.7307,1940.8662,2262.3498000000004,2307.3471,2005.1109000000001,2028.2598,2256.1074,1823.8211999999999
2288.88,2393.9604,2108.6306999999997,2135.4210000000003,2247.7842,2401.5033,2368.9908,1940.346,2262.6099,2306.8269000000005,2006.1513,2028.78,2254.2867,1822.2606
2290.9608,2393.7003,2107.8504,2134.6407,2247.5241,2402.0235000000002,2369.2509,1941.6465,2262.3498000000004,2308.1274,2005.371,2026.9593000000002,2253.5064,1822.5207
2290.9608,2393.9604,2107.5903,2137.5018,2249.0847000000003,2402.5437,2368.9908,1940.8662,2261.0493,2309.1677999999997,2003.2902,2024.8785,2254.5468,1822.5207
2291.481,2394.2205000000004,2107.3302000000003,2137.7619000000004,2249.8650000000002,2400.9831000000004,2367.1701000000003,1939.5657,2260.7892,2308.3875,2005.8912,2027.9997,2255.5872000000004,1824.3414
2291.2209000000003,2393.9604,2106.0297,2136.2013,2249.8650000000002,2401.7634000000003,2368.2105,1939.3056,2260.7892,2306.8269000000005,2007.4518000000003,2028.5199000000002,2254.0266,1823.5611000000001
2290.1805,2393.9604,2106.2898000000005,2136.9816,2250.1251,2402.0235000000002,2368.9908,1938.5253000000002,2259.4887,2307.6072000000004,2007.4518000000003,2026.9593000000002,2252.9862,1822.5207
2291.481,2393.4402000000005,2107.8504,2137.2417,2249.3448000000003,2400.2028,2368.7307,1939.5657,2260.7892,2308.3875,2007.4518000000003,2027.9997,2252.9862,1823.8211999999999
2292.0012,2393.9604,2107.5903,2136.7214999999997,2248.8246,2401.7634000000003,2369.5110000000004,1940.6061000000002,2262.3498000000004,2307.6072000000004,2006.1513,2027.9997,2252.4660000000003,1822.5207
2291.2209000000003,2394.4806000000003,2107.5903,2134.3806000000004,2247.2639999999997,2402.5437,2368.9908,1939.3056,2260.7892,2307.8673000000003,2006.9316,2028.78,2254.5468,1823.0409000000002
2289.9204,2394.2205000000004,2105.5095,2134.3806000000004,2247.7842,2401.7634000000003,2369.7711,1940.6061000000002,2260.0089000000003,2307.6072000000004,2005.8912,2028.78,2255.3271,1822.7808
2289.9204,2393.7003,2106.5499,2136.2013,2248.8246,2400.9831000000004,2369.5110000000004,1942.6869000000002,2262.3498000000004,2307.087,2005.371,2027.9997,2255.067,1821.2202
2292.0012,2393.7003,2107.8504,2135.9412,2247.7842,2401.5033,2368.4706,1942.1667,2262.87,2308.3875,2007.1917,2029.0401000000002,2255.5872000000004,1822.7808
2292.2613,2394.4806000000003,2105.2494,2136.9816,2248.3044000000004,2402.8038,2370.0312,1940.0859,2260.7892,2308.9077,2005.8912,2029.5603,2255.067,1823.8211999999999
2290.9608,2394.2205000000004,2107.3302000000003,2136.9816,2248.3044000000004,2400.723,2369.2509,1938.2652,2262.0897,2307.8673000000003,2005.8912,2028.78,2254.8069000000005,1823.5611000000001
2291.7410999999997,2392.3998,2107.8504,2136.2013,2248.8246,2399.4225,2369.2509,1938.5253000000002,2263.6503,2307.3471,2006.1513,2027.7396,2254.2867,1822.5207
2292.2613,2392.3998,2105.7696,2136.4614,2248.5645,2401.2432,2369.7711,1938.2652,2261.8296,2307.087,2005.6311,2029.0401000000002,2253.2463000000002,1821.4803000000002
2290.9608,2394.4806000000003,2108.1105000000002,2135.4210000000003,2247.0039,2401.2432,2368.2105,1937.7450000000001,2260.7892,2307.3471,2006.6715000000002,2029.0401000000002,2254.5468,1822.5207
2290.7007,2395.0008,2108.6306999999997,2135.9412,2248.0443,2401.2432,2368.9908,1938.5253000000002,2262.87,2307.6072000000004,2005.371,2026.9593000000002,2254.8069000000005,1823.5611000000001
2291.7410999999997,2393.7003,2107.3302000000003,2135.6811,2248.3044000000004,2402.2835999999998,2369.2509,1939.8258,2263.1301000000003,2306.5668,2006.4114,2028.5199000000002,2254.0266,1823.301
2290.1805,2392.92,2106.5499,2134.1205,2248.0443,2403.0639,2368.9908,1940.0859,2260.7892,2306.8269000000005,2006.9316,2027.7396,2254.8069000000005,1822.5207
2289.1401,2394.2205000000004,2107.3302000000003,2135.1609000000003,2248.3044000000004,2401.5033,2369.2509,1939.8258,2259.7488000000003,2307.6072000000004,2005.6311,2026.4391,2255.3271,1822.5207
2290.9608,2393.4402000000005,2107.8504,2134.9008,2247.2639999999997,2400.2028,2367.1701000000003,1942.1667,2261.8296,2307.087,2006.1513,2027.7396,2256.3675,1823.5611000000001
2290.4406000000004,2392.6599,2106.81,2134.9008,2247.7842,2402.2835999999998,2367.9504,1942.4268000000002,2262.0897,2307.6072000000004,2005.6311,2026.6992,2255.8473000000004,1823.5611000000001
2289.6603,2393.1801,2107.3302000000003,2135.9412,2248.5645,2402.0235000000002,2369.5110000000004,1939.5657,2261.8296,2309.4279,2005.8912,2027.2194,2253.5064,1824.0813
2290.9608,2393.4402000000005,2107.8504,2135.9412,2248.5645,2399.6826,2368.2105,1938.2652,2263.6503,2309.1677999999997,2005.6311,2029.3002000000001,2253.7664999999997,1824.0813
2291.481,2393.4402000000005,2107.0701000000004,2136.4614,2248.0443,2400.4629,2368.4706,1938.2652,2263.1301000000003,2308.1274,2005.1109000000001,2028.78,2254.2867,1822.2606
2291.2209000000003,2392.92,2106.81,2135.4210000000003,2248.0443,2401.7634000000003,2368.9908,1939.0455000000002,2260.7892,2308.3875,2006.9316,2028.2598,2254.0266,1823.0409000000002
2290.4406000000004,2394.4806000000003,2106.0297,2135.9412,2248.3044000000004,2403.324,2370.2913000000003,1940.0859,2261.0493,2308.6476000000002,2006.4114,2028.2598,2252.7261,1823.0409000000002
2289.9204,2396.0412,2107.5903,2136.4614,2248.5645,2402.5437,2369.2509,1940.8662,2262.3498000000004,2308.1274,2005.6311,2028.2598,2254.2867,1822.7808
2291.2209000000003,2394.7407,2108.6306999999997,2136.2013,2249.0847000000003,2401.2432,2367.6902999999998,1940.6061000000002,2262.0897,2307.6072000000004,2005.6311,2027.4795000000001,2254.5468,1823.0409000000002
2290.9608,2393.1801,2107.0701000000004,2136.9816,2248.5645,2403.0639,2369.7711,1940.346,2261.0493,2307.6072000000004,2004.3306,2027.2194,2252.2059,1821.2202
2290.4406000000004,2392.3998,2108.1105000000002,2136.2013,2247.5241,2401.5033,2369.5110000000004,1941.3863999999999,2261.8296,2308.9077,2004.8508,2029.0401000000002,2254.0266,1822.5207
2291.7410999999997,2393.7003,2108.3706,2136.4614,2248.8246,2399.6826,2368.9908,1940.8662,2262.6099,2308.3875,2005.6311,2029.0401000000002,2254.8069000000005,1823.5611000000001
2293.0416,2393.9604,2107.0701000000004,2136.4614,2248.8246,2400.723,2369.2509,1939.0455000000002,2262.3498000000004,2306.8269000000005,2006.1513,2028.2598,2252.7261,1822.5207
2292.5214,2392.6599,2107.5903,2134.3806000000004,2247.2639999999997,2400.723,2367.9504,1939.0455000000002,2262.0897,2307.8673000000003,2006.6715000000002,2027.9997,2253.5064,1823.301
2290.7007,2393.7003,2108.1105000000002,2136.7214999999997,2248.3044000000004,2400.2028,2367.6902999999998,1939.8258,2262.0897,2307.6072000000004,2004.8508,2027.7396,2254.8069000000005,1823.5611000000001
2290.9608,2395.2609,2107.3302000000003,2136.7214999999997,2248.5645,2400.4629,2367.9504,1939.5657,2261.8296,2306.8269000000005,2007.1917,2028.78,2254.0266,1823.0409000000002
2289.9204,2395.521,2105.7696,2134.9008,2247.5241,2402.8038,2369.7711,1939.8258,2261.3094,2307.087,2007.7119,2028.2598,2252.4660000000003,1822.5207
2288.3598,2394.7407,2107.5903,2136.9816,2247.5241,2402.5437,2369.2509,1940.0859,2261.3094,2307.8673000000003,2004.8508,2027.2194,2253.5064,1823.5611000000001
2289.6603,2393.9604,2109.1509,2136.4614,2248.0443,2400.2028,2367.1701000000003,1940.346,2261.0493,2309.1677999999997,2004.5907000000002,2028.2598,2254.8069000000005,1824.0813
2290.7007,2394.4806000000003,2107.0701000000004,2134.3806000000004,2247.7842,2401.2432,2369.2509,1940.8662,2261.3094,2309.688,2005.371,2027.9997,2252.4660000000003,1822.2606
2290.7007,2393.4402000000005,2108.6306999999997,2135.4210000000003,2247.5241,2401.7634000000003,2369.7711,1941.3863999999999,2262.3498000000004,2307.6072000000004,2006.1513,2027.4795000000001,2252.9862,1822.7808
2290.9608,2391.3594000000003,2108.1105000000002,2138.022,2248.3044000000004,2399.9427,2369.5110000000004,1942.1667,2262.87,2307.3471,2005.371,2027.4795000000001,2255.3271,1822.7808
2292.2613,2391.6195,2105.2494,2138.5422000000003,2247.7842,2400.2028,2369.7711,1940.346,2261.8296,2309.4279,2005.8912,2026.9593000000002,2254.0266,1821.4803000000002
